HGNCID	Status	ApprovedSymbol	ApprovedName	PreviousSymbols	AliasSymbol	EnsemblGeneID	UCSCGeneID	RefSeqAccession	UniProtAccession
HGNC:5	Approved	A1BG	alpha-1-B glycoprotein			ENSG00000121410	uc002qsd.5	NM_130786	P04217
HGNC:37133	Approved	A1BG-AS1	A1BG antisense RNA 1	NCRNA00181|A1BGAS|A1BG-AS	FLJ23569	ENSG00000268895	uc002qse.3	NR_015380	
HGNC:24086	Approved	A1CF	APOBEC1 complementation factor		ACF|ASP|ACF64|ACF65|APOBEC1CF	ENSG00000148584	uc057tgv.1	NM_014576	Q9NQ94
HGNC:7	Approved	A2M	alpha-2-macroglobulin		FWP007|S863-7|CPAMD5	ENSG00000175899	uc001qvk.2	NM_000014	P01023
HGNC:27057	Approved	A2M-AS1	A2M antisense RNA 1 (head to head)			ENSG00000245105	uc009zgj.2	NR_026971	
HGNC:23336	Approved	A2ML1	alpha-2-macroglobulin like 1	CPAMD9	FLJ25179|p170	ENSG00000166535	uc001quz.6	NM_144670	A8K2U0
HGNC:41022	Approved	A2ML1-AS1	A2ML1 antisense RNA 1			ENSG00000256661	uc058kxy.1		
HGNC:41523	Approved	A2ML1-AS2	A2ML1 antisense RNA 2			ENSG00000256904	uc058kyb.1		
HGNC:8	Approved	A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP		ENSG00000256069		NG_001067	
HGNC:30005	Approved	A3GALT2	"alpha 1,3-galactosyltransferase 2"	A3GALT2P	IGBS3S|IGB3S	ENSG00000184389	uc031plq.1	NM_001080438	U3KPV4
HGNC:18149	Approved	A4GALT	"alpha 1,4-galactosyltransferase (P blood group)"	P1	A14GALT|Gb3S|P(k)	ENSG00000128274	uc062ewl.1	NM_017436	Q9NPC4
HGNC:17968	Approved	A4GNT	"alpha-1,4-N-acetylglucosaminyltransferase"		alpha4GnT	ENSG00000118017	uc003ers.2	NM_016161	Q9UNA3
HGNC:1	Entry Withdrawn	A12M1	entry withdrawn						
HGNC:2	Entry Withdrawn	A12M2	entry withdrawn						
HGNC:3	Entry Withdrawn	A12M3	entry withdrawn						
HGNC:4	Entry Withdrawn	A12M4	entry withdrawn						
HGNC:13666	Approved	AAAS	aladin WD repeat nucleoporin			ENSG00000094914	uc001scr.5	NM_001173466	Q9NRG9
HGNC:12	Entry Withdrawn	AABT	entry withdrawn						
HGNC:21298	Approved	AACS	acetoacetyl-CoA synthetase		FLJ12389|SUR-5|ACSF1	ENSG00000081760	uc001uhc.4	NM_023928	Q86V21
HGNC:18226	Approved	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL		ENSG00000250420		NR_024035	
HGNC:17	Approved	AADAC	arylacetamide deacetylase		DAC|CES5A1	ENSG00000114771	uc003eze.4	NM_001086	P22760
HGNC:24427	Approved	AADACL2	arylacetamide deacetylase like 2		MGC72001	ENSG00000197953	uc003ezc.4	NM_207365	Q6P093
HGNC:50301	Approved	AADACL2-AS1	AADACL2 antisense RNA 1			ENSG00000242908		NR_110202	
HGNC:32037	Approved	AADACL3	arylacetamide deacetylase like 3		OTTHUMG00000001887	ENSG00000188984	uc057ckc.1	NM_001103170	Q5VUY0
HGNC:32038	Approved	AADACL4	arylacetamide deacetylase like 4		OTTHUMG00000001889	ENSG00000204518	uc001auf.3	NM_001013630	Q5VUY2
HGNC:50305	Approved	AADACP1	arylacetamide deacetylase pseudogene 1			ENSG00000240602		NR_026915	
